id,name,description,no,element_id,rarity_id,base_hp,base_atk,base_def,base_rec,ls_id,bb_id,numhits,created_at,updated_at,slug,realname,cost,max_lvl,max_hp,max_atk,max_def,max_rec,a_hp,a_rec,b_atk,b_def,g_atk,g_def,o_hp,o_rec,sbb,sbb_hits,bb_refill,bb_hits,Leader Skill,Brave Burst,bb_type_id,Unit_Category_id
261,Earth King,,261,6,4,1650,122,122,122,,171,2,47:46.6,25:32.1,earth-king,Metal,6,1,1650,122,122,122,1650,122,122,122,122,122,1650,122,,0,0,0,,,,19
262,Earth God,,262,6,5,2200,122,122,122,,171,3,47:46.6,25:32.1,earth-god,Metal,9,1,2200,122,122,122,2200,122,122,122,122,122,2200,122,,0,0,0,,,,19
263,Thunder Ghost,,263,5,3,900,130,120,120,,171,1,47:46.6,25:32.1,thunder-ghost,Metal,3,1,900,130,120,120,900,120,130,120,130,120,900,120,,0,0,0,,,,19
264,Thunder King,,264,5,4,1350,130,120,120,,171,2,47:46.6,25:32.2,thunder-king,Metal,6,1,1350,130,120,120,1350,120,130,120,130,120,1350,120,,0,0,0,,,,19
265,Thunder God,,265,5,5,1800,130,120,120,,171,3,47:46.6,25:32.2,thunder-god,Metal,9,1,1800,130,120,120,1800,120,130,120,130,120,1800,120,,0,0,0,,,,19
266,Light Ghost,,266,3,3,950,125,125,125,,171,1,47:46.6,25:32.2,light-ghost,Metal,3,1,950,125,125,125,950,125,125,125,125,125,950,125,,0,0,0,,,,19
267,Light King,,267,3,4,1400,125,125,125,,171,2,47:46.6,25:32.2,light-king,Metal,6,1,1400,125,125,125,1400,125,125,125,125,125,1400,125,,0,0,0,,,,19
268,Light God,,268,3,5,1850,125,125,125,,171,3,47:46.6,25:32.2,light-god,Metal,9,1,1850,125,125,125,1850,125,125,125,125,125,1850,125,,0,0,0,,,,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power Smash,1,20
270,Ogre,,270,1,3,0,0,0,0,,171,1,47:46.7,25:32.2,ogre,Orc,5,40,0,0,0,0,3046,448,0,0,913,792,0,0,,0,0,1,Fighting Light,Power Strike,1,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double Blizzard,1,20
272,Hrungnir,,272,2,3,2852,0,0,520,,171,2,47:46.7,25:32.2,hrungnir,Wendigo,5,40,2852,0,0,520,0,0,0,0,673,1062,0,0,,0,0,6,Intense Light,Blizzard Storm,1,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cracked Axe,1,20
274,Prince Dwarf,,274,6,3,2170,985,963,650,,171,1,47:46.7,25:32.2,prince-dwarf,Dwarf,5,40,2170,985,963,650,2454,571,0,0,0,0,2052,769,,0,0,5,,,1,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thunder Bolt,1,20
276,Gorgon,,276,5,3,2355,858,858,857,,171,3,47:46.7,25:32.2,gorgon,Empusa,5,40,2355,858,858,857,2655,786,922,787,787,922,0,0,,0,0,6,,,1,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power Charge,3,20
278,Cait Sith,,278,3,3,0,0,0,0,,171,7,47:46.7,25:32.3,cait-sith,Al-mi'raj,5,40,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,3,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demon Barrier,3,20
280,Incubus,,280,4,3,0,0,0,0,,171,1,47:46.7,25:32.3,incubus,Imp,5,40,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,3,20
281,Pyromancer Liza,,281,1,3,3788,683,994,1160,,171,5,47:46.7,25:32.3,pyromancer-liza,Liza,6,40,3788,683,994,1160,4081,1082,843,930,599,1077,0,0,,0,0,7,Fire's Protection,Meteor Storm,1,21
282,Bishop Merith,,282,2,3,3902,667,1029,1241,,171,5,47:46.7,25:32.3,bishop-merith,Merith,6,40,3902,667,1029,1241,4190,1156,743,958,586,1108,3607,1315,,0,0,0,Water's Protection,Cure Storm,2,21
283,Time Lord Claris,,283,6,3,3970,639,1098,1188,,171,5,47:46.7,25:32.3,time-lord-claris,Claris,6,40,3970,639,1098,1188,4272,1116,726,1024,563,1176,3857,1308,,0,0,0,Earth's Protection,Space Ray,2,21
284,Royal Dancer May,,284,5,3,3648,701,1052,1126,,218,5,47:46.7,25:32.3,royal-dancer-may,May,6,40,3648,701,1052,1126,3932,1045,788,878,629,1030,0,0,,0,0,0,Thunder's Protection,Healing Samba,2,21
285,Great Sage Mimir,,285,3,3,3880,639,1030,1269,,171,5,47:46.7,25:32.3,great-sage-mimir,Mimir,6,40,3880,639,1030,1269,4179,1191,717,954,563,1113,3586,1342,,0,8,0,Light's protection,Star Heal,2,21
286,Dark Arts Lily,,286,4,3,3741,716,958,1133,,171,5,47:46.7,25:32.3,dark-arts-lily,Lily,6,40,3741,716,958,1133,4031,1053,788,876,643,1033,3617,1255,,0,0,6,Dark Protection,Grand Despair,1,21
287,Drake Chief Aisha,,287,1,3,3543,1066,977,1088,,219,2,47:46.7,25:32.3,drake-chief-aisha,Aisha,7,40,3543,1066,977,1088,3838,1012,1144,902,992,1058,3230,1173,,0,0,5,Pulsating Energy,Dragon Voice,1,22
288,Drake Lord Aisha,,288,1,4,4485,1365,1250,1276,,220,3,47:46.7,25:32.3,drake-lord-aisha,Aisha,10,60,4485,1365,1250,1276,4921,1163,1478,1124,1246,1367,4038,1407,,0,0,7,Pulsating Energy,Dragon Scream,1,22
289,Drake Queen Aisha,,289,1,5,5311,1554,1488,1532,,221,5,47:46.7,25:32.3,drake-queen-aisha,Aisha,15,80,5311,1554,1488,1532,5892,1377,1708,1336,1395,1653,4705,1697,,0,16,10,Pulsating Retribution,Dragon Rage,1,22
290,Twin Gem Rickel,,290,2,3,3100,1197,703,1326,,222,6,47:46.7,25:32.4,twin-gem-rickel,Rickel,7,40,3100,1197,703,1326,3395,1248,1281,628,1113,778,2819,1406,,0,0,6,Intense Light,Crystal Bullet,1,22
291,Twin Flash Rickel,,291,2,4,4092,1540,965,1617,,223,10,47:46.7,25:32.4,twin-flash-rickel,Rickel,10,60,4092,1540,965,1617,4519,1500,1646,837,1415,1077,0,0,,0,0,10,Intense Flash,Diamon Rebel,1,22
292,Twin Shot Rickel,,292,2,5,4971,1793,1150,1950,,224,14,47:46.7,25:32.4,twin-shot-rickel,Rickel,15,80,4971,1793,1150,1950,5557,1802,1945,983,1629,1301,4374,2120,,0,9,14,Intense Strobe,Ancient Bullet,1,22
293,Twins Il & Mina,,293,6,3,3402,1021,995,1122,,225,3,47:46.7,25:32.4,twins-il-mina,Il & Mina,7,40,3402,1021,995,1122,3712,1040,1098,924,943,1073,3136,1198,,0,0,4,Emerald Wind,Star Twins,1,22
294,Earthly Il & Mina,,294,6,4,4356,1323,1296,1333,,226,4,47:46.7,25:32.4,earthly-il-mina,Il & Mina,10,60,4356,1323,1296,1333,4782,1210,1442,1176,1211,1422,3912,1464,,0,0,6,Cleansing Breeze,Twins Radiation,1,22
295,Gemini Il & Mina,,295,6,5,5279,1522,1534,1571,,227,5,47:46.7,25:32.4,gemini-il-mina,Il & Mina,15,80,5279,1522,1534,1571,5887,1418,1678,1374,1352,1691,5048,1802,,0,16,8,Divine Gale,Southern Cross,1,22
296,Bolt Pike Amy,,296,5,3,3708,1000,1066,952,,228,3,47:46.7,25:32.5,bolt-pike-amy,Amy,7,40,3708,1000,1066,952,4006,871,1065,986,920,1143,3446,1033,,0,0,3,Valiant Power,Thunder Spear Attack,1,22
297,Bolt Knight Amy,,297,5,4,4668,1240,1400,1140,,229,4,47:46.7,25:32.5,bolt-knight-amy,Amy,10,60,4668,1240,1400,1140,5093,1024,1359,1289,1123,1511,4229,1252,,0,0,5,Royal Power,Thunder Spear Combo,1,22
298,Bolt Goddess Amy,,298,5,5,5569,1500,1624,1394,,230,5,47:46.7,25:32.5,bolt-goddess-amy,Amy,15,80,5569,1500,1624,1394,6170,1250,1663,1484,1334,1786,4941,1553,,0,9,7,Dynasty Power,Thunder Spear Barrage,1,22
299,Eight Blade Sefia,,299,3,3,3345,1130,1088,510,,231,6,47:46.7,25:32.5,eight-blade-sefia,Sefia,7,40,3345,1130,1088,510,3630,425,1201,1007,1037,1173,3052,587,,0,0,8,Light Spirit's Power,Halcion Hack,1,22
300,Blade Storm Sefia,,300,3,4,4250,1501,1350,750,,232,8,47:46.7,25:32.5,blade-storm-sefia,Sefia,10,60,4250,1501,1350,750,4671,632,1625,1227,1377,1464,3798,872,,0,0,8,Light God's Power,Destructive Chain,1,22
301,Blade Queen Sefia,,301,3,5,5167,1801,1615,988,,233,8,47:46.7,25:32.5,blade-queen-sefia,Sefia,15,80,5167,1801,1615,988,5765,831,1954,1453,1640,1780,4521,1232,,0,17,10,Light God's Power,Sword Storm Barrage,1,22
302,Kikuri,,302,4,3,3424,1092,938,1071,,234,6,47:46.7,25:32.5,kikuri,Kikuri,7,40,3424,1092,938,1071,3717,995,1282,855,1011,1007,3122,1145,,0,0,6,Dark Spirit's Power,Firefly,1,22
303,Goth Kikuri,,303,4,4,4356,1362,1215,1245,,235,8,47:46.8,25:32.5,goth-kikuri,Kikuri,10,60,4356,1362,1215,1245,4801,1245,1486,1090,1243,1328,3902,1365,,0,0,8,Dark Spirit's Power,Ethernal Firefly,1,22
304,Goth Idol Kikuri,,304,4,5,5277,1597,1472,1536,,236,10,47:46.8,25:32.5,goth-idol-kikuri,Kikuri,15,80,5277,1597,1472,1536,5892,1385,1747,1328,1440,1630,4693,1691,,0,17,10,Dark Spirit's Power,Celestial Firefly,1,22
305,Dragon Mimic,,305,4,5,3188,666,666,666,,171,1,47:46.8,25:32.5,dragon-mimic,Mimic,15,1,3188,666,666,666,3188,666,666,666,666,666,3188,666,,0,0,0,,,,
306,Fire Pot,,306,1,3,2500,700,600,200,,171,0,47:46.8,25:32.5,fire-pot,Pot,1,1,2500,700,600,200,2500,200,700,600,700,600,2500,200,,0,0,0,,,,23
307,Water Pot,,307,2,3,2500,700,600,200,,171,0,47:46.8,25:32.6,water-pot,Pot,1,1,2500,700,600,200,2500,200,700,600,700,600,2500,200,,0,0,0,,,,23
308,Earth Pot,,308,6,3,2500,700,600,200,,171,0,47:46.8,25:32.6,earth-pot,Pot,1,1,2500,700,600,200,2500,200,700,600,700,600,2500,200,,0,0,0,,,,23
309,Thunder Pot,,309,5,3,2500,700,600,200,,171,0,47:46.8,25:32.6,thunder-pot,Pot,1,1,2500,700,600,200,2500,200,700,600,700,600,2500,200,,0,0,0,,,,23
310,Light Pot,,310,3,3,2500,700,600,200,,171,0,47:46.8,25:32.6,light-pot,Pot,1,1,2500,700,600,200,2500,200,700,600,700,600,2500,200,,0,0,0,,,,23
311,Dark Pot,,311,4,3,2500,700,600,200,,171,0,47:46.8,25:32.6,dark-pot,Pot,1,1,2500,700,600,200,2500,200,700,600,700,600,2500,200,,0,0,0,,,,23
312,Great Thief Leon,,312,1,4,3404,1102,1002,1150,,237,8,47:46.8,25:32.6,great-thief-leon,Leon,9,60,3404,1102,1002,1150,3858,1037,1214,960,0,0,3227,1333,,0,0,8,Abundant Flash,Poisonado,1,24
313,Sea Prince Verica,,313,2,4,3701,1163,950,705,,171,5,47:46.8,25:32.6,sea-prince-verica,Verica,9,60,3701,1163,950,705,0,0,1276,823,1041,1066,3254,833,,0,0,6,Pure Shining,Poseidon Axe,1,24
314,Wild Bandit Zaza,,314,6,4,3291,1230,1079,556,,171,6,47:46.8,25:32.6,wild-bandit-zaza,Zaza,9,60,3291,1230,1079,556,3718,442,1353,954,0,0,2823,676,,0,0,6,Intense Flash,Demon's Execution,1,24
315,Sky Emperor Grafl,,315,5,4,3353,1058,914,1124,,171,6,47:46.8,25:32.7,sky-emperor-grafl,Grafl,9,60,3353,1058,914,1124,3799,1008,1168,800,949,1024,0,0,,0,0,12,Fighting Flash,Plasma Magnum,1,24
316,Disciple Zebra,,316,4,4,3550,1480,820,1120,,171,5,47:46.8,25:32.7,disciple-zebra,Zebra,10,60,3550,1480,820,1120,3976,1006,1593,705,1360,943,3106,1242,,0,0,10,Flashing Blade,Chaos Rage,1,25
317,Mad God Zebra,,317,4,5,4104,1716,973,1430,,171,7,47:46.8,25:32.7,mad-god-zebra,Zebra,15,80,4104,1716,973,1430,4673,1287,1873,823,1568,1127,3534,1571,,0,15,12,Flashing Splach,Soul Invasion,1,25
318,Swordswoman Seria,,318,1,4,4060,1399,1200,1300,,171,4,47:46.8,25:32.7,swordswoman-seria,Seria,10,60,4060,1399,1200,1300,0,0,0,0,0,0,0,0,,0,0,6,Royal Wave,Fatal Flame,1,25
319,Blade God Seria,,319,1,5,4805,1550,1417,1610,,171,6,47:46.8,25:32.7,blade-god-seria,Seria,15,80,4805,1550,1417,1610,0,0,0,0,0,0,0,0,,0,15,8,Supreme Wave,Ignite Heaven,1,25
334,Beast King Zegar,,320,1,5,4761,1522,1001,956,,,8,32:16.8,25:32.7,beast-king-zegar,Zegar,,,4761,1522,1001,956,5355,793,1679,849,0,0,4176,1118,,0,8,9,,,1,25
335,Dragon Hero Zephu,,321,2,5,4971,1505,1032,807,,,5,32:16.9,25:32.7,dragon-hero-zephu,Zephu,,,4971,1505,1032,807,5537,661,1660,874,1344,1191,4384,962,,0,0,8,,,1,25
336,Bow God Lario,,322,6,5,5010,1280,1205,1620,,,7,32:16.9,25:32.7,bow-god-lario,Lario,,,5010,1280,1205,1620,5611,1475,1440,1041,1117,1367,4761,1850,,0,0,8,,,1,25
337,General Weiss,,323,5,5,5157,1223,1130,1926,,,7,32:16.9,25:32.7,general-weiss,Weiss,,,5157,1223,1130,1926,5753,1758,1395,982,1061,1279,4913,2084,,0,0,0,,,3,25
338,Holy Empress Luna,,324,3,5,3880,1567,1578,918,,,5,32:17.0,25:32.8,holy-empress-luna,Luna,,,3880,1567,1578,918,4471,750,1718,1410,1426,1578,3644,1157,,0,17,6,,,1,25
339,Ryujin Mifune,,325,4,5,3682,1946,928,961,,,5,32:17.0,25:32.8,ryujin-mifune,Mifune,,,3682,1946,928,961,4289,806,2100,757,1796,1095,0,0,,0,17,6,,,1,25
340,Magma Knight Agni,,326,1,5,5343,1585,1202,961,,,10,32:17.0,25:32.8,magma-knight-agni,Agni,,,5343,1585,1202,961,5966,790,1742,1042,1435,1358,5166,1206,,0,8,10,,,1,25
341,Ice Knight Sergio,,327,2,5,5050,1424,1307,1376,,,7,32:17.0,25:32.8,ice-knight-sergio,Sergio,,,5050,1424,1307,1376,5673,1228,1584,1155,1272,1471,4813,1609,,0,7,8,,,1,25
342,Empress Lidith,,328,6,5,4645,1553,1067,1695,,,9,32:17.0,25:32.8,empress-lidith,Lidith,,,4645,1553,1067,1695,5210,1534,1714,910,1398,1216,4408,1921,,0,0,10,,,1,25
343,Sky Legend Falma,,329,5,5,4990,1546,1232,1212,,,8,32:17.0,25:32.8,sky-legend-falma,Falma,,,4990,1546,1232,1212,5559,1046,1698,1069,0,0,4420,1367,,0,0,8,,,1,25
344,Pistol God Heidt,,330,3,5,4869,1555,1359,905,,,11,32:17.1,25:32.8,pistol-god-heidt,Heidt,,,4869,1555,1359,905,5461,750,1707,1202,1401,1505,4304,1071,,0,8,11,,,1,25
345,Executioner Shida,,331,4,5,4444,1565,1015,1553,,,6,32:17.1,25:32.8,executioner-shida,Shida,,,4444,1565,1015,1553,5047,1397,1716,856,1404,1170,3862,1722,,0,0,9,,,1,25
346,Miracle Totem,,332,3,5,5000,1000,1000,1000,,,0,32:17.1,25:32.9,miracle-totem,Totem,,,5000,1000,1000,1000,5000,1000,1000,1000,1000,1000,5000,1000,,0,0,0,,,,25
347,Burst Frog,,333,1,3,3300,700,700,50,,,0,32:17.1,25:32.9,burst-frog,Burst Frog,,,3300,700,700,50,3300,50,700,700,700,700,3300,50,,0,0,0,Warrior's Order,Frozen Axe,1,25
348,Brave Knight Karl,,334,2,4,4565,1491,1356,1082,,,0,32:17.1,25:32.9,brave-knight-karl,Karl,,,4565,1491,1356,1082,0,0,0,0,0,0,0,0,,0,0,6,Hero's Order,Cursed Blue Slash,1,25
349,Ice Warrior Karl,,335,2,5,5323,1733,1523,1389,,,6,32:17.1,25:32.9,ice-warrior-karl,Karl,,,5323,1733,1523,1389,0,0,0,0,0,0,0,0,,0,10,8,,,,25
350,Warrior Lugina,,336,6,4,4650,1640,1110,950,,,0,32:17.2,25:32.9,warrior-lugina,Lugina,,,4650,1640,1110,950,0,0,0,0,0,0,0,0,,0,0,8,,,,25
351,Gaia King Lugina,,337,6,5,0,0,0,0,,,7,32:17.2,25:32.9,gaia-king-lugina,Lugina,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,9,10,,,,25
352,Holy Flame Vargas,,338,1,6,5313,1660,1456,1376,,,7,32:17.2,25:32.9,holy-flame-vargas,Vargas,,,5313,1660,1456,1376,6046,1178,1863,1262,1466,1649,4597,1669,,10,14,8,Fire Creator's Power,Final Burst,1,26
353,Holy Ice Selena,,339,2,6,5097,1647,1351,1701,,,6,32:17.2,25:32.9,holy-ice-selena,Selena,,,5097,1647,1351,1701,5822,1509,1842,1169,1444,1562,4306,1998,,12,14,8,Water Creator's Power,Last Blizzard,1,26
354,Holy Earth Lance,,340,6,6,5272,1656,1603,1010,,,5,32:17.2,25:32.9,holy-earth-lance,Lance,,,5272,1656,1603,1010,6030,813,1856,1401,1458,1803,4538,1206,,10,14,8,Earth Creator's Power,Eternal Symphony,1,26
355,Holy Thunder Eze,,341,5,6,5460,1806,1230,971,,,3,32:17.3,25:32.9,holy-thunder-eze,Eze,,,5460,1806,1230,971,6177,769,2005,1033,1616,1423,5150,1250,,10,14,8,Thunder Creator's Power,Thunder Crush,1,26
356,Holy Light Atro,,342,3,6,5034,1605,1605,1605,,,4,32:17.3,25:33.0,holy-light-atro,Atro,,,5034,1605,1605,1605,5782,1401,1802,1401,1402,1796,4738,1900,,9,14,8,Light Creator's Power,Heaven's Gate,1,26
357,Unholy Magress,,343,4,6,5941,1482,1659,960,,,4,32:17.3,25:33.0,unholy-magress,Magress,,,5941,1482,1659,960,6688,764,1676,1464,1281,1852,5198,1148,,9,14,8,Dark Creator's Power,Bloody Chaos,1,26
358,Keymaster Gilnea,,344,3,5,0,0,0,0,,,3,32:17.3,25:33.0,keymaster-gilnea,Gilnea,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,11,9,,,,
359,Hionihime Phosphorus (JP),,345,1,3,0,0,0,0,,,3,32:17.3,25:33.0,hionihime-phosphorus-jp,Phosphorus,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,10,5,,,,
360,Red Axe Michele,,346,1,4,3828,1487,982,1416,,,10,32:17.4,25:33.0,red-axe-michele,Michele,,,3828,1487,982,1416,0,0,1612,859,0,0,0,0,,0,0,0,,,,
361,Lotus Axe Michele,,347,1,5,4804,1667,1210,1582,,,12,32:17.4,25:33.0,lotus-axe-michele,Michele,,,4804,1667,1210,1582,5402,1410,1821,1041,1509,1368,4320,1722,,0,9,0,,,,
362,Polar Angel Tiara,,348,2,4,3914,1088,1198,1788,,,4,32:17.4,25:33.0,polar-angel-tiara,Tiara,,,3914,1088,1198,1788,4340,1670,1322,1076,978,1314,3496,1908,,0,0,0,,,,
363,Ice Apostle Tiara,,349,2,5,4867,1263,1354,1902,,,5,32:17.4,25:33.1,ice-apostle-tiara,Tiara,,,4867,1263,1354,1902,5478,1902,1427,1208,1103,1509,4615,2254,,0,12,0,,,,
364,Scar Blade Zelban,,350,6,4,0,0,0,0,,,5,32:17.4,25:33.1,scar-blade-zelban,Zelban,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,
365,Blade Hero Zelban,,351,6,5,5072,1216,1532,1809,,,6,32:17.5,25:33.1,blade-hero-zelban,Zelban,,,5072,1216,1532,1809,5650,1655,1375,1383,1063,1690,4482,1970,,0,9,0,,,,
366,Drakeborn Lodin,,352,5,4,0,0,0,0,,,3,32:17.5,25:33.1,drakeborn-lodin,Lodin,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,
367,Drake God Lodin,,353,5,5,4600,1815,1164,1488,,,5,32:17.5,25:33.1,drake-god-lodin,Lodin,,,4600,1815,1164,1488,5198,1324,1967,1017,1660,1333,4600,1488,,0,12,0,,,,
368,Legionary Melchio,,354,3,4,4111,1104,1401,1280,,,8,32:17.5,25:33.1,legionary-melchio,Melchio,,,4111,1104,1401,1280,4551,1166,1359,1153,1104,1401,3681,1392,,0,0,0,,,,
369,Centurion Melchio,,355,3,5,5015,1425,1483,1477,,,8,32:17.5,25:33.1,centurion-melchio,Melchio,,,5015,1425,1483,1477,5603,1325,1583,1320,1264,1641,4392,1646,,0,8,0,,,,
370,Duel-GX,,356,4,4,4204,1094,1347,1189,,,10,32:17.5,25:33.1,duel-gx,Duel-GX,,,4204,1094,1347,1189,4629,1073,1134,1226,974,1463,3746,1319,,0,0,0,,,,
371,Duel-GX II,,357,4,5,5215,1297,1535,1325,,,12,32:17.6,25:33.1,duel-gx-ii,Duel-GX,,,5215,1297,1535,1325,5815,1161,1452,1386,1161,1707,0,0,,0,11,0,,,,
372,Maiden Lico,,8000,4,3,3710,1308,606,916,,,3,32:17.6,25:33.1,maiden-lico,Lico,,,3710,1308,606,916,4025,840,1389,534,1221,683,3432,988,,0,0,7,,,,
373,Dark Blade Lico,,8001,4,4,4554,1572,793,1086,,,4,32:17.6,25:33.2,dark-blade-lico,Lico,,,4554,1572,793,1086,4998,966,1699,672,1445,905,3807,1146,,0,0,8,,,,
374,Demon Blade Lico,,8002,4,5,5525,1857,989,1310,,,5,32:17.7,25:33.2,demon-blade-lico,Lico,,,5525,1857,989,1310,6136,1148,2011,838,1704,1156,4914,1463,,0,0,9,,,,
375,Maiden Cayena,,8003,1,3,3560,1110,988,1090,,,7,32:17.7,25:33.2,maiden-cayena,Cayena,,,3560,1110,988,1090,3848,1006,1100,867,0,0,0,0,,0,0,8,,,,
376,Hot Rocket Cayena,,8004,1,4,4515,1257,1230,1305,,,8,32:17.7,25:33.2,hot-rocket-cayena,Cayena,,,4515,1257,1230,1305,4708,969,1498,1130,1139,1346,0,0,,0,0,10,,,,
377,War Rocket Cayena,,8005,1,5,5150,1510,1514,1265,,,12,32:17.7,25:33.2,war-rocket-cayena,Cayena,,,5150,1510,1514,1265,5735,1110,1662,1370,1366,1670,4526,1415,,0,0,12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
